geo_id,type,coordinates,highway,lanes,length,maxspeed
14,LineString,"[[-8.5797087, 41.1513862], [-8.5796589, 41.1512584], [-8.5795571, 41.1511023], [-8.5794506, 41.1509408], [-8.5793927, 41.1508226], [-8.579356, 41.1507253], [-8.5793388, 41.1506324], [-8.5793314, 41.1505115], [-8.5793366, 41.1504128], [-8.5793697, 41.1502845], [-8.5794628, 41.1500874], [-8.5795878, 41.1499378], [-8.5796629, 41.1498592], [-8.5797499, 41.1497896], [-8.5798412, 41.1497334], [-8.5799349, 41.1496899], [-8.5800975, 41.1496165], [-8.5802796, 41.1495364], [-8.5804331, 41.1494638], [-8.5806298, 41.1493624], [-8.5808614, 41.1491995]]",7,1,307.462,5
15,LineString,"[[-8.5797087, 41.1513862], [-8.579591, 41.1513017], [-8.5794589, 41.1511703], [-8.5793515, 41.1510393], [-8.5792523, 41.1508912], [-8.5791675, 41.1507136], [-8.5791058, 41.1505348], [-8.5790521, 41.1503305], [-8.5790221, 41.1500828], [-8.5790147, 41.1498879], [-8.5790455, 41.1495305], [-8.5790716, 41.1493722]]",0,5,239.09,8
16,LineString,"[[-8.5793775, 41.1483683], [-8.5792124, 41.1485993], [-8.5789795, 41.1489896], [-8.5788626, 41.1493052], [-8.5788068, 41.1495113], [-8.5787907, 41.1496759], [-8.5787812, 41.1498356]]",0,5,172.699,8
17,LineString,"[[-8.580636, 41.1472516], [-8.5808266, 41.1469845], [-8.5809668, 41.1467114], [-8.5810073, 41.1465886], [-8.5810484, 41.1464643], [-8.5810987, 41.1462118], [-8.5811321, 41.1460614], [-8.5811692, 41.1456174], [-8.5811733, 41.1454215]]",0,3,211.18900000000002,8
18,LineString,"[[-8.6140445, 41.1499575], [-8.6148131, 41.1499245]]",6,0,64.458,0
19,LineString,"[[-8.6140445, 41.1499575], [-8.6143119, 41.1486948], [-8.6143324, 41.148557], [-8.61437, 41.1483742], [-8.6143805, 41.1483296], [-8.614397, 41.1482599]]",6,0,191.077,0
20,LineString,"[[-8.6148131, 41.1499245], [-8.6147925, 41.1501202], [-8.6147127, 41.1509259]]",6,0,111.66799999999999,0
21,LineString,"[[-8.6120177, 41.152994], [-8.6120989, 41.1502687]]",6,0,303.116,5
22,LineString,"[[-8.6120177, 41.152994], [-8.6108785, 41.1522982], [-8.6102726, 41.1519282], [-8.6101425, 41.1518487]]",6,0,202.158,0
23,LineString,"[[-8.6119957, 41.153597], [-8.6120177, 41.152994]]",6,0,67.07600000000001,5
24,LineString,"[[-8.6119957, 41.153597], [-8.6115322, 41.1535869], [-8.611451, 41.1535795]]",3,0,45.67,0
25,LineString,"[[-8.6121592, 41.1479515], [-8.6122867, 41.1480274]]",3,2,13.609000000000002,0
26,LineString,"[[-8.6121592, 41.1479515], [-8.6121861, 41.1471763]]",6,0,86.228,5
27,LineString,"[[-8.6121592, 41.1479515], [-8.6121573, 41.1479955], [-8.612152, 41.1482173]]",6,0,29.561999999999998,5
28,LineString,"[[-8.6112856, 41.147888], [-8.6113836, 41.1478963], [-8.6121592, 41.1479515]]",3,2,73.488,0
29,LineString,"[[-8.6112856, 41.147888], [-8.6113566, 41.147557], [-8.6114106, 41.1472792], [-8.6114558, 41.14704], [-8.6114324, 41.1470014], [-8.6113958, 41.1469692], [-8.6113487, 41.1469459], [-8.6112949, 41.1469334], [-8.6112437, 41.1469322], [-8.6111936, 41.1469408], [-8.6111481, 41.1469586], [-8.6111101, 41.1469845]]",3,3,131.409,5
30,LineString,"[[-8.6109422, 41.1478426], [-8.6111125, 41.1478666], [-8.6112856, 41.147888]]",3,2,29.195,0
31,LineString,"[[-8.6109422, 41.1478426], [-8.6109374, 41.147861], [-8.6108812, 41.1480789], [-8.6108186, 41.1482966], [-8.610699, 41.1486454], [-8.6106718, 41.1487177], [-8.6106307, 41.148827], [-8.6105476, 41.1490134], [-8.6104496, 41.1491992]]",3,3,156.672,5
32,LineString,"[[-8.6121386, 41.1488008], [-8.6113857, 41.1493065], [-8.6112234, 41.1494158]]",6,2,102.706,0
33,LineString,"[[-8.6121861, 41.1471763], [-8.6122153, 41.1471899], [-8.6133682, 41.1475478]]",6,0,107.291,0
34,LineString,"[[-8.6121861, 41.1471763], [-8.6122068, 41.1460915], [-8.6122154, 41.1460572], [-8.6122224, 41.1460292], [-8.6122327, 41.1459905]]",6,0,132.075,5
35,LineString,"[[-8.6133682, 41.1475478], [-8.6131662, 41.1479536], [-8.6131551, 41.1480043], [-8.613128, 41.1482774]]",6,0,84.355,0
36,LineString,"[[-8.6122327, 41.1459905], [-8.612322, 41.145983], [-8.6124411, 41.1459721], [-8.6133804, 41.1458802], [-8.6134603, 41.145874], [-8.6135435, 41.145891]]",3,3,110.82700000000001,0
37,LineString,"[[-8.6122327, 41.1459905], [-8.6122424, 41.145953], [-8.6122408, 41.1459166], [-8.6122305, 41.1456598], [-8.6122291, 41.1456239], [-8.6121464, 41.145509], [-8.612061, 41.145401]]",6,0,69.369,0
38,LineString,"[[-8.6122327, 41.1459905], [-8.6122224, 41.1460292], [-8.6122154, 41.1460572], [-8.6122068, 41.1460915], [-8.6121861, 41.1471763]]",6,0,132.075,5
39,LineString,"[[-8.6210997, 41.1507093], [-8.6230542, 41.1502192]]",6,0,172.482,0
40,LineString,"[[-8.6210997, 41.1507093], [-8.6212767, 41.1516791]]",4,0,108.851,0
41,LineString,"[[-8.6212767, 41.1516791], [-8.6231422, 41.1506749]]",6,0,192.002,0
42,LineString,"[[-8.6212767, 41.1516791], [-8.6207584, 41.1525043], [-8.6207521, 41.1525281], [-8.6207489, 41.1525519], [-8.6207549, 41.1526088]]",4,0,113.20700000000001,0
43,LineString,"[[-8.6230542, 41.1502192], [-8.6229257, 41.1493674]]",6,0,95.325,0
44,LineString,"[[-8.6230542, 41.1502192], [-8.6233771, 41.1501535], [-8.6237067, 41.1500785], [-8.6237633, 41.1500675], [-8.6238199, 41.1500646], [-8.6238659, 41.1500779], [-8.6239048, 41.1500979]]",6,0,74.55,0
45,LineString,"[[-8.6229257, 41.1493674], [-8.6226637, 41.1477709]]",6,0,178.873,0
46,LineString,"[[-8.6229257, 41.1493674], [-8.6208752, 41.1496431]]",6,0,174.403,0
47,LineString,"[[-8.6208752, 41.1496431], [-8.6209479, 41.1499897], [-8.6210997, 41.1507093]]",4,0,120.037,0
48,LineString,"[[-8.6231422, 41.1506749], [-8.6230542, 41.1502192]]",6,0,51.20399999999999,0
49,LineString,"[[-8.6180312, 41.1524873], [-8.6179199, 41.1522366]]",6,0,29.393,0
50,LineString,"[[-8.6180312, 41.1524873], [-8.6169171, 41.1525907], [-8.6157974, 41.152686], [-8.6157255, 41.1526925], [-8.6157063, 41.1526941], [-8.6135935, 41.1528719]]",6,0,374.004,0
51,LineString,"[[-8.6179199, 41.1522366], [-8.6176398, 41.1516719], [-8.6176031, 41.1515875], [-8.6185977, 41.1513402], [-8.6210997, 41.1507093]]",6,0,385.52,0
52,LineString,"[[-8.6188807, 41.1551988], [-8.614016, 41.1543025], [-8.6133083, 41.1541642]]",3,2,480.51599999999996,0
53,LineString,"[[-8.6188807, 41.1551988], [-8.6189002, 41.155124], [-8.6189758, 41.1549974]]",6,0,23.910999999999998,3
54,LineString,"[[-8.6133083, 41.1541642], [-8.6133246, 41.1538652], [-8.6133163, 41.1538177], [-8.6133019, 41.1537926], [-8.6132822, 41.1537694], [-8.6132505, 41.1537434]]",3,0,48.629,0
55,LineString,"[[-8.6135935, 41.1528719], [-8.6157063, 41.1526941], [-8.6157255, 41.1526925], [-8.6157974, 41.152686], [-8.6169171, 41.1525907], [-8.6180312, 41.1524873]]",6,0,374.004,0
56,LineString,"[[-8.6135935, 41.1528719], [-8.6134258, 41.1536347], [-8.6133793, 41.1536858], [-8.6132505, 41.1537434]]",6,0,105.404,0
57,LineString,"[[-8.6132505, 41.1537434], [-8.6131768, 41.153739], [-8.6130858, 41.1537499], [-8.6126871, 41.1537496], [-8.6126091, 41.1537496], [-8.6122168, 41.1537426], [-8.6121716, 41.1537482], [-8.6121269, 41.1537604], [-8.6121117, 41.1537666], [-8.6120991, 41.1537717], [-8.6120711, 41.153789], [-8.6120549, 41.1538039], [-8.6120253, 41.1538357]]",3,0,106.62299999999999,0
58,LineString,"[[-8.6132505, 41.1537434], [-8.6132205, 41.1537042], [-8.6132, 41.1536912], [-8.613165, 41.1536741], [-8.6131327, 41.1536626], [-8.6130889, 41.1536532], [-8.6130433, 41.153649], [-8.6121499, 41.153643], [-8.6120732, 41.1536293], [-8.6119957, 41.153597]]",3,0,110.236,0
59,LineString,"[[-8.6207549, 41.1526088], [-8.6207489, 41.1525519], [-8.6207521, 41.1525281], [-8.6207584, 41.1525043], [-8.6212767, 41.1516791]]",4,0,113.20700000000001,0
60,LineString,"[[-8.6207549, 41.1526088], [-8.6210121, 41.1533068], [-8.6210314, 41.1533685], [-8.6210417, 41.1534427], [-8.6210452, 41.1535866], [-8.6209435, 41.154823]]",4,2,249.639,0
61,LineString,"[[-8.6207549, 41.1526088], [-8.6192752, 41.1524145], [-8.6179199, 41.1522366]]",6,0,240.94299999999998,0
62,LineString,"[[-8.6226637, 41.1477709], [-8.6228165, 41.1478141], [-8.6237039, 41.1480652], [-8.6240692, 41.1481681], [-8.6241792, 41.1481991]]",3,2,135.533,5
63,LineString,"[[-8.6226637, 41.1477709], [-8.6224903, 41.1477282], [-8.6221503, 41.1476444], [-8.6218696, 41.1475823]]",3,0,69.72800000000001,5
64,LineString,"[[-8.6203514, 41.1474495], [-8.6204052, 41.1473343], [-8.6204201, 41.1472196]]",3,2,26.394000000000002,0
65,LineString,"[[-8.6203514, 41.1474495], [-8.6204237, 41.147415], [-8.62049, 41.1473905], [-8.6206422, 41.1473629]]",3,1,26.459,0
66,LineString,"[[-8.6149639, 41.1491595], [-8.6149312, 41.14934], [-8.614841, 41.1496608], [-8.6148102, 41.1498424], [-8.6148131, 41.1499245]]",6,0,86.208,0
67,LineString,"[[-8.615614, 41.1485895], [-8.6153714, 41.1487427], [-8.6151135, 41.1489304], [-8.6150232, 41.1490299], [-8.6149639, 41.1491595]]",6,0,85.186,0
68,LineString,"[[-8.615614, 41.1485895], [-8.615598, 41.1486498], [-8.615587, 41.1486798], [-8.6155908, 41.1487059], [-8.6156627, 41.1487981], [-8.6156916, 41.1488194], [-8.6157319, 41.148837], [-8.6157734, 41.1488438], [-8.61588, 41.1488352], [-8.6161302, 41.1488108], [-8.6161508, 41.1488042], [-8.6161695, 41.148794], [-8.6161833, 41.1487774], [-8.6161933, 41.1487613], [-8.6161958, 41.1487349], [-8.6160258, 41.1483049], [-8.6160034, 41.1482473]]",6,0,133.518,0
69,LineString,"[[-8.6202036, 41.1476258], [-8.6203102, 41.1475031], [-8.6203514, 41.1474495]]",3,3,23.19,0
70,LineString,"[[-8.6240719, 41.1529176], [-8.6228781, 41.1527941]]",6,0,100.89,0
71,LineString,"[[-8.6240719, 41.1529176], [-8.6242034, 41.1530165], [-8.6245074, 41.1531926]]",6,0,47.674,0
72,LineString,"[[-8.6100176, 41.1551969], [-8.6100166, 41.1552481], [-8.6100078, 41.1556754]]",3,3,53.213,0
73,LineString,"[[-8.6100176, 41.1551969], [-8.6100194, 41.1551229], [-8.6100412, 41.1542404]]",3,0,106.37700000000001,0
74,LineString,"[[-8.6100176, 41.1551969], [-8.6117242, 41.1552304], [-8.6119105, 41.1552348]]",6,0,158.534,0
75,LineString,"[[-8.6101425, 41.1518487], [-8.6105064, 41.1513742], [-8.6107099, 41.1511088], [-8.6108263, 41.150957], [-8.6108654, 41.1509028], [-8.6108859, 41.1508229], [-8.6108828, 41.150737], [-8.6108667, 41.1506096]]",3,0,154.188,0
76,LineString,"[[-8.6067378, 41.1509254], [-8.6067727, 41.1508603], [-8.6068677, 41.1506833], [-8.6071279, 41.1501986], [-8.6071805, 41.1501006]]",3,3,98.92,5
77,LineString,"[[-8.6067378, 41.1509254], [-8.6066521, 41.1510744], [-8.6061881, 41.1518636], [-8.6060991, 41.1520153], [-8.6060507, 41.1520981]]",3,3,142.525,5
78,LineString,"[[-8.6073894, 41.1511073], [-8.6076722, 41.1504141]]",6,0,80.635,0
79,LineString,"[[-8.6073894, 41.1511073], [-8.6072799, 41.1510749], [-8.6071147, 41.1510261], [-8.6068694, 41.1509605], [-8.6067378, 41.1509254]]",6,0,58.193000000000005,0
80,LineString,"[[-8.6077498, 41.1502271], [-8.6088617, 41.1504737], [-8.6089109, 41.1504849]]",3,0,101.35600000000001,0
81,LineString,"[[-8.6077498, 41.1502271], [-8.6077079, 41.1503294], [-8.6076722, 41.1504141]]",6,0,21.785,3
82,LineString,"[[-8.6089109, 41.1504849], [-8.6089714, 41.150449], [-8.6093946, 41.1501979], [-8.6094208, 41.1501627]]",6,0,56.049,0
83,LineString,"[[-8.6089109, 41.1504849], [-8.6095236, 41.1506367], [-8.6096425, 41.1506648], [-8.6098399, 41.1507114], [-8.6099174, 41.1507614], [-8.6099602, 41.1508241], [-8.6099839, 41.1508997]]",3,0,106.78200000000001,0
84,LineString,"[[-8.6094208, 41.1501627], [-8.6094343, 41.1501003], [-8.6094397, 41.1500752], [-8.6094945, 41.1498231], [-8.6095168, 41.1496437], [-8.6095185, 41.1494714], [-8.6095168, 41.1493758], [-8.6094999, 41.1492167], [-8.6094974, 41.1492013], [-8.6094912, 41.1491623], [-8.6094872, 41.1491375]]",6,0,114.70700000000001,0
85,LineString,"[[-8.6094208, 41.1501627], [-8.6094305, 41.150187], [-8.6094425, 41.1502052], [-8.6094468, 41.1502118], [-8.6094771, 41.1502264], [-8.6095333, 41.1502543], [-8.6100614, 41.1505159], [-8.610195, 41.150582], [-8.6102434, 41.150606]]",6,0,85.709,0
86,LineString,"[[-8.6042501, 41.1509449], [-8.6048091, 41.15095], [-8.6053649, 41.1509574], [-8.6057815, 41.1509683], [-8.6062191, 41.1509753], [-8.606543, 41.1509805], [-8.6065511, 41.1509797], [-8.6065982, 41.1509751], [-8.6066425, 41.1509679], [-8.6066871, 41.1509547], [-8.6067378, 41.1509254]]",4,2,209.843,0
87,LineString,"[[-8.6042501, 41.1509449], [-8.6041872, 41.1502245], [-8.6041532, 41.1498473], [-8.6041093, 41.1493955]]",4,0,172.68900000000002,0
88,LineString,"[[-8.6041093, 41.1493955], [-8.6042093, 41.1494256], [-8.6045814, 41.1495087], [-8.6046127, 41.1495157], [-8.6046848, 41.1495324], [-8.604716, 41.1495396], [-8.6053983, 41.1496976]]",3,0,113.065,0
89,LineString,"[[-8.6041093, 41.1493955], [-8.6040937, 41.1493005], [-8.6040451, 41.1487785], [-8.6039968, 41.1483147], [-8.6039407, 41.1477338], [-8.6039313, 41.1476365]]",4,0,196.173,0
90,LineString,"[[-8.6099839, 41.1508997], [-8.6095608, 41.151371], [-8.6095356, 41.151399], [-8.6094979, 41.1514773], [-8.609549, 41.1515695], [-8.6095684, 41.1515899], [-8.6096613, 41.1516838]]",3,4,103.197,0
91,LineString,"[[-8.6104496, 41.1491992], [-8.610279, 41.1491616]]",4,2,14.884,5
92,LineString,"[[-8.6104496, 41.1491992], [-8.610414, 41.1492612], [-8.6102387, 41.1495666], [-8.6102157, 41.1496493], [-8.6102062, 41.1497297], [-8.6102115, 41.1498128], [-8.610236, 41.1499034], [-8.6103431, 41.1502996], [-8.6103516, 41.1503332], [-8.610337, 41.1504258], [-8.6103033, 41.1505245], [-8.6102434, 41.150606]]",3,0,163.22899999999998,0
93,LineString,"[[-8.6022297, 41.1510098], [-8.6024055, 41.1532765]]",3,0,252.475,0
94,LineString,"[[-8.6022297, 41.1510098], [-8.6023759, 41.1510052], [-8.6036864, 41.1509525]]",4,0,122.133,0
95,LineString,"[[-8.6036864, 41.1509525], [-8.6037649, 41.1509502], [-8.6041726, 41.1509462], [-8.6042501, 41.1509449]]",4,0,47.207,0
96,LineString,"[[-8.6036864, 41.1509525], [-8.6036727, 41.1509049], [-8.6034058, 41.1499762], [-8.6033801, 41.1498866], [-8.6032733, 41.149515], [-8.6032645, 41.1494844], [-8.6031973, 41.1492755], [-8.6031713, 41.1491982]]",6,0,199.791,0
97,LineString,"[[-8.6035241, 41.1532611], [-8.6024055, 41.1532765]]",6,0,93.67,0
98,LineString,"[[-8.6035241, 41.1532611], [-8.6040571, 41.1519148], [-8.6042602, 41.1513983], [-8.6042771, 41.1513403], [-8.6042753, 41.1512802], [-8.6042577, 41.1510038], [-8.6042501, 41.1509449]]",4,0,266.747,0
99,LineString,"[[-8.6024055, 41.1532765], [-8.6025005, 41.1545372]]",3,0,140.409,0
100,LineString,"[[-8.6024055, 41.1532765], [-8.6007815, 41.1532733]]",6,0,135.969,0
101,LineString,"[[-8.6007815, 41.1532733], [-8.6005458, 41.1545339]]",6,0,141.555,0
102,LineString,"[[-8.6007815, 41.1532733], [-8.5997196, 41.1532952]]",6,0,88.94,0
103,LineString,"[[-8.6007815, 41.1532733], [-8.600874, 41.1527505], [-8.6011274, 41.1514117], [-8.6011448, 41.151319], [-8.6011461, 41.1512304], [-8.6011443, 41.151124], [-8.6011373, 41.1510477]]",6,0,249.61599999999999,0
104,LineString,"[[-8.6011373, 41.1510477], [-8.6012247, 41.1510462], [-8.6021102, 41.1510164], [-8.6022297, 41.1510098]]",4,0,91.56700000000001,0
105,LineString,"[[-8.600131, 41.1510849], [-8.6003165, 41.151072], [-8.6004777, 41.1510638], [-8.6011373, 41.1510477]]",4,0,84.382,0
106,LineString,"[[-8.600131, 41.1510849], [-8.600191, 41.1507577], [-8.6002415, 41.1505026]]",4,2,65.407,0
107,LineString,"[[-8.6020829, 41.1489819], [-8.6021532, 41.1499717], [-8.6021968, 41.1505977], [-8.602225, 41.1509383], [-8.6022297, 41.1510098]]",3,0,225.829,0
108,LineString,"[[-8.6020829, 41.1489819], [-8.6031168, 41.149187], [-8.6031713, 41.1491982]]",3,0,94.25200000000001,0
109,LineString,"[[-8.6031713, 41.1491982], [-8.6040064, 41.1493719], [-8.6041093, 41.1493955]]",3,0,81.548,0
110,LineString,"[[-8.6019049, 41.148952], [-8.6020829, 41.1489819]]",3,0,15.27,0
111,LineString,"[[-8.6047458, 41.1536304], [-8.6046934, 41.1548151]]",3,3,131.806,0
112,LineString,"[[-8.6047458, 41.1536304], [-8.6047782, 41.1535564], [-8.6048056, 41.1535394], [-8.6048512, 41.1535301], [-8.6054379, 41.153538]]",3,2,64.721,0
113,LineString,"[[-8.6046934, 41.1548151], [-8.6047458, 41.1536304]]",3,3,131.806,0
114,LineString,"[[-8.6046934, 41.1548151], [-8.6046931, 41.1549083], [-8.6046039, 41.1566451]]",3,0,203.63099999999997,0
115,LineString,"[[-8.6030065, 41.1545668], [-8.6031238, 41.1546047], [-8.6045533, 41.1547739], [-8.6046934, 41.1548151]]",3,2,144.43,0
116,LineString,"[[-8.6030065, 41.1545668], [-8.6031212, 41.1542775], [-8.6034373, 41.1534803], [-8.6035241, 41.1532611]]",4,0,151.517,0
117,LineString,"[[-8.605549, 41.1551062], [-8.6055724, 41.1550567], [-8.6057571, 41.1548195], [-8.6057822, 41.1547833], [-8.6058036, 41.1547476], [-8.6058295, 41.154698], [-8.6058568, 41.1546349], [-8.6059408, 41.1544108], [-8.6061957, 41.1539382], [-8.6062111, 41.1538887], [-8.6062174, 41.1538404], [-8.6062267, 41.1536414], [-8.6062294, 41.1535512]]",6,0,184.452,0
118,LineString,"[[-8.605549, 41.1551062], [-8.6055017, 41.1550766], [-8.6046934, 41.1548151]]",12,0,78.804,0
119,LineString,"[[-8.6062294, 41.1535512], [-8.6062816, 41.1535173], [-8.6063125, 41.1535009], [-8.6063516, 41.1534669]]",6,0,13.937000000000001,0
120,LineString,"[[-8.6062294, 41.1535512], [-8.6078299, 41.1535842], [-8.6079339, 41.1535881]]",3,2,142.769,0
121,LineString,"[[-8.6026294, 41.155553], [-8.6027794, 41.1551569]]",3,2,45.8,0
122,LineString,"[[-8.6026294, 41.155553], [-8.602611, 41.1555919], [-8.602588, 41.1556405], [-8.6024617, 41.1559079], [-8.6021632, 41.1566305], [-8.6019667, 41.157156]]",3,2,186.738,0
123,LineString,"[[-8.5997196, 41.1532952], [-8.5996218, 41.1532331], [-8.599575, 41.1532023], [-8.5995099, 41.1531727], [-8.5990823, 41.1530352], [-8.5983095, 41.1528177], [-8.5975401, 41.1526012], [-8.5974968, 41.1525888], [-8.5974466, 41.1525745]]",4,0,207.429,0
124,LineString,"[[-8.5997196, 41.1532952], [-8.5999945, 41.1517517], [-8.600005, 41.1516924]]",4,2,179.81799999999998,0
125,LineString,"[[-8.5994778, 41.1545295], [-8.5997196, 41.1532952]]",4,0,138.733,0
126,LineString,"[[-8.586275, 41.1667121], [-8.585881, 41.1666361], [-8.5852376, 41.166587], [-8.5846706, 41.1665489], [-8.5844575, 41.1665245], [-8.5842759, 41.1664861], [-8.5840123, 41.1664215], [-8.5837625, 41.1663314], [-8.5835683, 41.166241]]",0,4,235.167,8
127,LineString,"[[-8.5938865, 41.1713532], [-8.5940381, 41.1714805], [-8.5941417, 41.1715624], [-8.5942603, 41.1716624], [-8.5943635, 41.1717636], [-8.5944543, 41.1718668], [-8.5945333, 41.1719766], [-8.5946042, 41.1720893], [-8.5946587, 41.1722099], [-8.5947057, 41.1723312], [-8.5947399, 41.1724562], [-8.5947587, 41.1725804], [-8.5947669, 41.1727068], [-8.5947608, 41.1728654], [-8.5947195, 41.1731101]]",7,2,217.641,6
128,LineString,"[[-8.5938865, 41.1713532], [-8.5942438, 41.1715311], [-8.5945238, 41.1716668], [-8.5948342, 41.1717775], [-8.595151, 41.1718512], [-8.5953139, 41.1718772], [-8.5954794, 41.1718939], [-8.5958202, 41.1719027], [-8.59615, 41.1718873], [-8.5962995, 41.1718764], [-8.5964826, 41.171863], [-8.5967824, 41.1718256], [-8.5970968, 41.1717841]]",0,2,284.471,8
129,LineString,"[[-8.5970968, 41.1717841], [-8.5972761, 41.1717442], [-8.5976502, 41.1716611], [-8.5984665, 41.171497], [-8.5990121, 41.1713899], [-8.5996552, 41.17129], [-8.5999122, 41.1712674], [-8.6002377, 41.1712524], [-8.6002844, 41.1712502], [-8.6005164, 41.1712527], [-8.6008317, 41.1712629]]",0,4,319.882,8
130,LineString,"[[-8.5980825, 41.1714553], [-8.5975946, 41.1714676], [-8.5974617, 41.1714666], [-8.5973448, 41.1714524], [-8.5972625, 41.1714317], [-8.597189, 41.1714034], [-8.5971217, 41.1713693], [-8.5970598, 41.1713264], [-8.5970031, 41.1712801], [-8.5969539, 41.1712318], [-8.5969081, 41.1711811], [-8.5968096, 41.1710793], [-8.5967547, 41.1710353], [-8.5966923, 41.1709944], [-8.5966209, 41.1709653], [-8.5965435, 41.1709424], [-8.5964641, 41.170931], [-8.5963828, 41.1709249], [-8.5962944, 41.1709321], [-8.5962091, 41.1709463], [-8.596127, 41.1709757], [-8.596047, 41.1710149], [-8.5959879, 41.1710561], [-8.5959329, 41.1711002], [-8.5958815, 41.1711507], [-8.5958336, 41.1712024], [-8.5957413, 41.1713111], [-8.595653, 41.1714192], [-8.5955452, 41.1715535], [-8.5954147, 41.1717461], [-8.5953445, 41.1718573], [-8.5952784, 41.1719747], [-8.595221, 41.1720805], [-8.5951136, 41.1723135], [-8.5949531, 41.1726805], [-8.5948586, 41.1728652], [-8.5947195, 41.1731101]]",7,2,455.931,4
131,LineString,"[[-8.5980825, 41.1714553], [-8.5976016, 41.171549], [-8.5971127, 41.1716434], [-8.5967867, 41.1717033], [-8.5963197, 41.1717708]]",0,3,151.715,8
132,LineString,"[[-8.6187612, 41.1737099], [-8.6170284, 41.1738986], [-8.6156709, 41.174086], [-8.6143873, 41.1743083], [-8.6140302, 41.1743728], [-8.6136031, 41.1744194], [-8.6131713, 41.1744444], [-8.6127242, 41.1744467], [-8.6122417, 41.1744198], [-8.6117545, 41.1743715], [-8.6113088, 41.174325], [-8.6112907, 41.1743231], [-8.6108274, 41.1742758], [-8.6103421, 41.1741747], [-8.6100682, 41.1741101]]",0,3,738.943,8
133,LineString,"[[-8.6187612, 41.1737099], [-8.6179785, 41.1737008], [-8.6170037, 41.1737785]]",7,0,147.564,0
